Période,Abréviation Période,Début,Fin,Sous-période,Abréviation Sous-période,Début SP,Fin SP,Description
Prémices de l'informatique,Prémices,-3000,1800,Antiquité,Antiquité,-3000,500,"Développement des concepts mathématiques, logique et premiers outils de calcul."
Prémices de l'informatique,Prémices,-3000,1800,Moyen Âge,Moyen Âge,500,1500,
Prémices de l'informatique,Prémices,-3000,1800,Première révolution mécanique,Proto-mécanique,1500,1800,
Révolution mécanique,Mécanique,1800,1930,Inventions mécaniques,Inventions,1800,1870,"Apparition des premières machines à calcul mécaniques programmables et concepts fondamentaux."
Révolution mécanique,Mécanique,1800,1930,Pré-électromécanique,Pré-électronique,1870,1930,
Théorisation de l’informatique,Théorie,1930,1950,Fondements théoriques,Fondements,1930,1945,"Émergence des concepts mathématiques de calcul, de complexité, d'information et de machines universelles."
Théorisation de l’informatique,Théorie,1930,1950,Naissance de l'informatique moderne,Naissance,1945,1950,
Ère des premiers ordinateurs,Premiers ordis,1950,1970,Ordinateurs à tubes,Tubes,1950,1960,"Déploiement des premiers ordinateurs à usage général, premiers langages de programmation et OS."
Ère des premiers ordinateurs,Premiers ordis,1950,1970,Premiers langages,Langages,1960,1970,
Informatique personnelle & réseaux,Réseau,1970,1990,Micro-ordinateurs,Micros,1970,1980,"Popularisation de l'informatique personnelle, développement des réseaux, débuts d'Internet."
Informatique personnelle & réseaux,Réseau,1970,1990,Standardisation réseau,Réseau,1980,1990,
Avènement d’Internet,Internet,1990,2010,Web initial,Web,1990,2000,"Explosion du Web, interconnexion planétaire, logiciel libre et open source en croissance."
Avènement d’Internet,Internet,1990,2010,Web 2.0,Web 2.0,2000,2010,
Informatique ubiquitaire & IA,IA,2010,2025,Big Data & Cloud,Big Data,2010,2018,"Réseaux omniprésents, intelligence artificielle avancée, interfaces naturelles, traitement du langage."
Informatique ubiquitaire & IA,IA,2010,2025,IA générative & ubiquité,IA générative,2018,2025,
